"model","results_id","match_rate","n_bags","n_landmarks","party","y_hat_dem","y_hat_rep","y_hat_oth","class_rate","y_dem","y_rep","y_oth","y_hat_dem_2way","error_dem","error_rep","error_oth","error_dem_2way"
"grpmean","partyinsurvey_match19_bags76_lmks143.811934712343",0.190866530383917,76,143.811934712343,"insurvey",0.509481329184569,0.423776666094097,0.0667420047213349,0.465,0.477,0.434,0.089,0.54591691875347,0.0324813291845695,-0.0102233339059031,-0.0222579952786651,0.0223164796755339
"logit_alldata","partyinsurvey_match20_bags69_lmks15.1966116137337",0.19678008639162,69,15.1966116137337,"insurvey",0.486342658089203,0.420038802917262,0.0936185389935346,0.628,0.491,0.406,0.103,0.536576131587199,-0.00465734191079703,0.0140388029172616,-0.00938146100646536,-0.0108040244886091
"logit","partyinsurvey_match20_bags69_lmks15.1966116137337",0.19678008639162,69,15.1966116137337,"insurvey",0.530206288020958,0.408813231915722,0.0609804800633277,0.598,0.491,0.406,0.103,0.564638196292996,0.0392062880209577,0.00281323191572236,-0.0420195199366723,0.0172580402171878
"dr","partyinsurvey_match20_bags69_lmks15.1966116137337",0.19678008639162,69,15.1966116137337,"insurvey",0.504796363003485,0.428186294275017,0.0670173427214987,0.521,0.491,0.406,0.103,0.541056534186787,0.0137963630034847,0.0221862942750173,-0.0359826572785013,-0.00632362188902136
"dr_sepbags","partyinsurvey_match20_bags69_lmks15.1966116137337",0.19678008639162,69,15.1966116137337,"insurvey",0.526947802239487,0.40840335640806,0.0646488413524512,0.497,0.491,0.406,0.103,0.563368952256836,0.0359478022394875,0.00240335640805955,-0.0383511586475488,0.0159887961810281
"logit_bagfeat","partyinsurvey_match20_bags69_lmks15.1966116137337",0.19678008639162,69,15.1966116137337,"insurvey",0.533359603753525,0.408409897503258,0.0582304987432154,0.59,0.491,0.406,0.103,0.566337732366317,0.0423596037535245,0.00240989750325832,-0.0447695012567846,0.0189575762905085
"logit_regfeat","partyinsurvey_match20_bags69_lmks15.1966116137337",0.19678008639162,69,15.1966116137337,"insurvey",0.539376625790258,0.401980758466774,0.0586426157429686,0.587,0.491,0.406,0.103,0.572977526718996,0.0483766257902576,-0.00401924153322641,-0.0443573842570314,0.0255973706431879
"grpmean","partyinsurvey_match20_bags69_lmks15.1966116137337",0.19678008639162,69,15.1966116137337,"insurvey",0.496545566208159,0.440162796740814,0.0632916370510241,0.472,0.491,0.406,0.103,0.530096224021016,0.00554556620815921,0.0341627967408143,-0.0397083629489759,-0.0172839320547925
"logit_alldata","partyinsurvey_match22_bags110_lmks151.246303044958",0.22252016441999,110,151.246303044958,"insurvey",0.487225287309236,0.41700294171732,0.0957717709734443,0.642,0.471,0.419,0.11,0.538829989673909,0.0162252873092361,-0.00199705828267982,-0.0142282290265557,0.00961650652784163
"logit","partyinsurvey_match22_bags110_lmks151.246303044958",0.22252016441999,110,151.246303044958,"insurvey",0.528428091333215,0.419914914083277,0.0516569945835192,0.471,0.471,0.419,0.11,0.55721198797807,0.0574280913332147,0.000914914083277263,-0.0583430054164808,0.0279985048320024
